word,yomi,alphabet
人間,にんげん,
人,ひと,
男,おとこ,
女,おんな,
家族,かぞく,
皆,みな,
誰,だれ,
者,もの,
相手,あいて,
人人,ひとびと,
個人,こじん,
意識,いしき,
自身,じしん,
身,み,
名前,なまえ,
精神,せいしん,
客,きゃく,
身体,しんたい,
体,からだ,
足,あし,
頭,あたま,
顔,かお,
口,くち,
歯,は,
鼻,はな,
髭,ひげ,
髪,かみ,
耳,みみ,
目,め,
腕,うで,
爪,つめ,
手,て,
指,ゆび,
お腹,おなか,
首,くび,
背中,せなか,
血,ち,
肉,にく,
胸,むね,
毛,け,
心,こころ,
健康,けんこう,
病気,びょうき,
風邪,かぜ,
怪我,けが,
親,おや,
子供,こども,
おとうさん,おとうさん,
おかあさん,おかあさん,
妻,つま,
夫,おっと,
兄,あに,
祖父,そふ,
祖母,そぼ,
おじいさん,おじいさん,
おばあさん,おばあさん,
伯父,おじ,
伯母,おば,
娘,むすめ,
動物,どうぶつ,
犬,いぬ,
猫,ねこ,
鳥,とり,
魚,さかな,
虫,むし,
草,くさ,
花,はな,
木,き,
葉,は,
米,こめ,
野菜,やさい,
果物,くだもの,
葡萄,ぶどう,
食事,しょくじ,
あさごはん,あさごはん,
ひるごはん,ひるごはん,
ゆうごはん,ゆうごはん,
御飯,ごはん,
料理,りょうり,
サラダ,さらだ,
パン,ぱん,
茶,ちゃ,
珈琲,こーひー,
砂糖,さとう,
塩,しお,
醤油,しょうゆ,
今,いま,
現在,げんざい,
時間,じかん,
時,とき,
過去,かこ,
将来,しょうらい,
分,ふん,
秒,びょう,
日,ひ,
月,つき,
年,とし,
世紀,せいき,
一昨日,おととい,
昨日,きのう,
今日,きょう,
明日,あす,
明後日,あさって,
朝,あさ,
昼,ひる,
夕方,ゆうがた,
晩,ばん,
夜,よる,
午前,ごぜん,
午後,ごご,
曜日,ようび,
月曜日,げつようび,
火曜日,かようび,
水曜日,すいようび,
木曜日,もくようび,
金曜日,きんようび,
土曜日,どようび,
日曜日,にちようび,
週,しゅう,
週間,しゅうかん,
一週間,いっしゅうかん,
月,つき,
星,ほし,
天気,てんき,
晴れ,はれ,
雨,あめ,
曇,くもり,
雪,ゆき,
風,かぜ,
台風,たいふう,
空,そら,
次,つぎ,
時代,じだい,
頃,ころ,
年度,ねんど,
先,さき,
最近,さいきん,
最初,さいしょ,
最後,さいご,
当時,とうじ,
期間,きかん,
期,き,
今回,こんかい,
年間,ねんかん,
今後,こんご,
際,さい,
同時,どうじ,
時期,じき,
以前,いぜん,
今度,こんど,
毎日,まいにち,
今年,ことし,
一日,ついたち,
東,ひがし,
西,にし,
南,みなみ,
北,きた,
右,みぎ,
左,ひだり,
上,うえ,
下,した,
前,まえ,
後,うしろ,
手前,てまえ,
奥,おく,
中,なか,
内,うち,
外,そと,
真中,まんなか,
中央,ちゅうおう,
所,ところ,
後,あと,
間,あいだ,
場所,ばしょ,
側,がわ,
近く,ちかく,
気体,きたい,
水,みず,
湯,ゆ,
火,ひ,
ガス,がす,
空気,くうき,
金,きん,
メートル,めーとる,
円,えん,
パーセント,ぱーせんと,
度,ど,
号,ごう,
箇月,かげつ,
社会,しゃかい,
経済,けいざい,
会社,かいしゃ,
会議,かいぎ,
学校,がっこう,
店,みせ,
工場,こうじょう,
法律,ほうりつ,
金,かね,
切符,きっぷ,
切手,きって,
会,かい,
市,し,
世界,せかい,
生活,せいかつ,
法,ほう,
地域,ちいき,
国,くに,
県,けん,
仕事,しごと,
委員,いいん,
活動,かつどう,
環境,かんきょう,
教育,きょういく,
大学,だいがく,
先生,せんせい,
政府,せいふ,
労働,ろうどう,
地方,ちほう,
管理,かんり,
参加,さんか,
事件,じけん,
国民,こくみん,
文化,ぶんか,
国際,こくさい,
主義,しゅぎ,
評価,ひょうか,
自由,じゆう,
生産,せいさん,
都市,とし,
相談,そうだん,
制度,せいど,
政治,せいじ,
社,しゃ,
大臣,だいじん,
サービス,さーびす,
経営,けいえい,
商品,しょうひん,
局,きょく,
産業,さんぎょう,
組織,そしき,
課,か,
協力,きょうりょく,
病院,びょういん,
消費,しょうひ,
価格,かかく,
責任,せきにん,
土地,とち,
団体,だんたい,
戦争,せんそう,
銀行,ぎんこう,
税,ぜい,
契約,けいやく,
代表,だいひょう,
外国,がいこく,
市民,しみん,
販売,はんばい,
警察,けいさつ,
軍,ぐん,
全国,ぜんこく,
友達,ともだち,
放送,ほうそう,
高校,こうこう,
日本,にっぽん,
アメリカ,あめりか,
中国,ちゅうごく,
アラビア,あらびあ,
韓国,かんこく,
スペイン,すぺいん,
ドイツ,どいつ,
家,いえ,
アパート,あぱーと,
壁,かべ,
エレベーター,えれべーたー,
エスカレーター,えすかれーたー,
戸,と,
ドア,どあ,
窓,まど,
玄関,げんかん,
廊下,ろうか,
部屋,へや,
台所,だいどころ,
風呂,ふろ,
トイレ,といれ,
住宅,じゅうたく,
階,かい,
机,つくえ,
テーブル,てーぶる,
椅子,いす,
畳,たたみ,
本棚,ほんだな,
布団,ふとん,
ベッド,べっど,
電気,でんき,
カーテン,かーてん,
道具,どうぐ,
鞄,かばん,
傘,かさ,
鍵,かぎ,
箸,はし,
ナイフ,ないふ,
茶碗,ちゃわん,
コップ,こっぷ,
電話,でんわ,
服,ふく,
洋服,ようふく,
着物,きもの,
ボタン,ぼたん,
靴,くつ,
眼鏡,めがね,
ネクタイ,ねくたい,
靴下,くつした,
交通,こうつう,
駅,えき,
飛行機,ひこうき,
空港,くうこう,
道,みち,
道路,どうろ,
通り,とおり,
電車,でんしゃ,
自転車,じてんしゃ,
タクシー,たくしー,
バス,ばす,
車,くるま,
写真,しゃしん,
表,ひょう,
機,き,
センター,せんたー,
機関,きかん,
作品,さくひん,
テレビ,てれび,
映画,えいが,
基準,きじゅん,
ホテル,ほてる,
文字,もじ,
字,じ,
漢字,かんじ,
平仮名,ひらがな,
片仮名,かたかな,
本,ほん,
紙,かみ,
ペン,ぺん,
鉛筆,えんぴつ,
シャープペンシル,しゃーぷぺんしる,
ボールペン,ぼーるぺん,
手紙,てがみ,
新聞,しんぶん,
辞書,じしょ,
パソコン,ぱそこん,
意味,いみ,
言葉,ことば,
声,こえ,
ページ,ぺーじ,
質問,しつもん,
説明,せつめい,
指導,しどう,
メール,めーる,
意見,いけん,
資料,しりょう,
語,ご,
色,いろ,
赤,あか,
黄色,きいろ,
緑,みどり,
青,あお,
白,しろ,
黒,くろ,
絵,え,
音楽,おんがく,
歴史,れきし,
地理,ちり,
スポーツ,すぽーつ,
情報,じょうほう,
必要,ひつよう,
勉強,べんきょう,
自動,じどう,
内容,ないよう,
結婚,けっこん,
神,かみ,
事,こと,
物,もの,
為,ため,
自分,じぶん,
方,ほう,
場合,ばあい,
訳,わけ,
問題,もんだい,
気,き,
関係,かんけい,
他,ほか,
点,てん,
筈,はず,
代,だい,
一般,いっぱん,
使用,しよう,
対象,たいしょう,
存在,そんざい,
何時,いつ,
研究,けんきゅう,
侭,まま,
図,ず,
利用,りよう,
本当,ほんとう,
方法,ほうほう,
別,べつ,
他,た,
部,ぶ,
結果,けっか,
調査,ちょうさ,
状況,じょうきょう,
地,ち,
計画,けいかく,
技術,ぎじゅつ,
状態,じょうたい,
部分,ぶぶん,
気持ち,きもち,
基本,きほん,
実施,じっし,
殆ど,ほとんど,
一緒,いっしょ,
形,かたち,
程度,ていど,
中心,ちゅうしん,
多く,おおく,
其其,それぞれ,
目的,もくてき,
姿,すがた,
実際,じっさい,
力,ちから,
風,ふう,
理由,りゆう,
全体,ぜんたい,
変化,へんか,
以外,いがい,
普通,ふつう,
分,ぶん,
効果,こうか,
機能,きのう,
影響,えいきょう,
理解,りかい,
対策,たいさく,
山,やま,
感,かん,
例,れい,
整備,せいび,
運動,うんどう,
障害,しょうがい,
自然,しぜん,
安全,あんぜん,
元,もと,
確認,かくにん,
式,しき,
面,めん,
事務,じむ,
音,おと,
行動,こうどう,
同,どう,
決定,けってい,
報告,ほうこく,
処理,しょり,
条件,じょうけん,
医療,いりょう,
経験,けいけん,
紹介,しょうかい,
一部,いちぶ,
注意,ちゅうい,
方,かた,
判断,はんだん,
構造,こうぞう,
川,かわ,
役,やく,
予定,よてい,
番,ばん,
作業,さぎょう,
検討,けんとう,
選択,せんたく,
原因,げんいん,
指定,してい,
駄目,だめ,
専門,せんもん,
表現,ひょうげん,
作成,さくせい,
台,だい,
心配,しんぱい,
連絡,れんらく,
科学,かがく,
光,ひかり,
夢,ゆめ,
事故,じこ,
積り,つもり,
海,うみ,
危険,きけん,
無理,むり,
運転,うんてん,
零,れい,
一,いち,
二,に,
三,さん,
四,し,
五,ご,
六,ろく,
七,しち,
八,はち,
九,きゅう,
十,じゅう,
百,ひゃく,
千,せん,
万,まん,
億,おく,
ひとつ,ひとつ,
ふたつ,ふたつ,
みっつ,みっつ,
よっつ,よっつ,
いつつ,いつつ,
むっつ,むっつ,
ななつ,ななつ,
やっつ,やっつ,
ここのつ,ここのつ,
とお,とお,
以上,いじょう,
以下,いか,
回,かい,
一人,ひとり,
二人,ふたり,
全て,すべて,
額,がく,
率,りつ,
量,りょう,
数,すう,
半,はん,
ここ,ここ,
そこ,そこ,
あそこ,あそこ,
どこ,どこ,
